,constituency,ward,clat,clon,place_id,place_name,place_lat,place_long,place_type
0, Starehe,Landimawe,-1.2694542,36.83557186,2bb5ac5303a6d3d5f9717d8231aea3b57deb8fa7,NIC Bank Limited,-1.300464,36.822577,bank
1, Starehe,Landimawe,-1.2694542,36.83557186,7ed5f26120529f36105f01f90a4af768ac921eef,Oriental Commercial Bank Ltd.,-1.285006,36.8185086,bank
2, Starehe,Landimawe,-1.2694542,36.83557186,fd1134a7733df2e5497feaded86b854f1b687ef1,Kenya Commercial Bank,-1.2854005,36.8186139,bank
3, Starehe,Landimawe,-1.2694542,36.83557186,c39d0c9bb18533dcaddffc550910c7aaf494a66f,Bank of Africa Kenya Ltd,-1.2874847,36.82436369999999,bank
4, Starehe,Landimawe,-1.2694542,36.83557186,dc92ac1242c9321dbefb78c6512301f26ad57871,Equity Bank,-1.3011189,36.8122941,bank
5, Starehe,Landimawe,-1.2694542,36.83557186,10ffecbb8393601dfe64cfffe33d46dc9e40089a,Bank of India,-1.2588472,36.8056758,bank
6, Starehe,Landimawe,-1.2694542,36.83557186,784cf1d8b8b71087437e78a50c721ddb06a3a1ad,Gulf Bank,-1.2846666,36.8205726,bank
7, Starehe,Landimawe,-1.2694542,36.83557186,3b44682673e5258bb0eadcf5014a5cf813b1f973,Standard Chartered Bank - Head Office,-1.2717109,36.8094185,bank
8, Starehe,Landimawe,-1.2694542,36.83557186,3de75fd2b437f39ed7ae3512784e3423f602d14f,Consolidated Bank,-1.2828452,36.8180313,bank
9, Starehe,Landimawe,-1.2694542,36.83557186,d42586fb5b5ce80a9df786dda1a4ff3c38ac586a,Citibank N.A. Kenya,-1.2972059,36.8181816,bank
10, Starehe,Landimawe,-1.2694542,36.83557186,6bf549aa57d09882526525243c9d9464bea204c1,https://www.sc.com/ke,-1.2843813,36.82561560000001,bank
11, Starehe,Landimawe,-1.2694542,36.83557186,56bedc7766989214acf0b865c0e63006ef171dcf,Habib bank,-1.3042751,36.8384698,bank
12, Starehe,Landimawe,-1.2694542,36.83557186,004d7fb30f2fdc4cf2b2d693e3402070982c0a22,Co-operative Bank,-1.2999212,36.8215539,bank
13, Starehe,Landimawe,-1.2694542,36.83557186,12f58f92c34a70b527a88692abe84d95d2385292,Standard Chartered Bank,-1.2720544,36.8098282,bank
14, Starehe,Landimawe,-1.2694542,36.83557186,feac0460442dd6401008ff7722e9fc84e72387b8,Co-operative bank Naccico branch,-1.2873999,36.8374736,bank
15, Starehe,Landimawe,-1.2694542,36.83557186,fc606df73dda39193fb90aa32eccfe0d7c06323e,Prime Bank,-1.2822026,36.8204051,bank
16, Starehe,Landimawe,-1.2694542,36.83557186,40c13b2cc916e4257de3857b7dc79887b4410328,Sidian Bank,-1.282662,36.8229023,bank
17, Starehe,Landimawe,-1.2694542,36.83557186,9c080ed2a74ec160de255fce284038836cd77f7c,Drummond Investment Bank Ltd,-1.284185,36.8204609,bank
18, Starehe,Landimawe,-1.2694542,36.83557186,0350b66c39210d63e9a140900ab462fadb0e8b1f,PesaPoint POS Tats Enterprises,-1.285882,36.82314,bank
19, Starehe,Landimawe,-1.2694542,36.83557186,006d51533fee559953cccb44c9cae223eafa8612,PesaPoint POS Sears - Kenya Cinema,-1.287049,36.8261393,bank
