constituency,latitude,longitude,wards
 Westlands,-1.2395542,36.7839651,Kitisuru
 Westlands,-1.2630616,36.8106288,Parklands
 Westlands,-1.2369881,36.8325591,Karura
 Westlands,-1.2654259,36.7525183,Kangemi
 Westlands,-1.27113135,36.74300262,Mountain View
 Dagoretti North,-1.2874422,36.7845225,Kilimani
 Dagoretti North,-1.2784631,36.751643,Kawangware
 Dagoretti North,-1.165572,36.85526373,Gatina
 Dagoretti North,-1.2723271,36.7996878,Kileleshwa
 Dagoretti North,-1.2878118,36.7515014,Kabiro
 Dagoretti South,-1.3,36.7,Mutuini
 Dagoretti South,-1.2917037,36.7346929,Riruta
 Dagoretti South,-1.2631329,36.7188955,Uthiru
 Dagoretti South,-1.2833,36.7166,Waithaka
 Lang'ata,-1.3283746,36.7049676,Karen
 Lang'ata,-1.3087022,36.8230975,Nairobi West
 Lang'ata,-1.1991235,36.8467412,Mugumoini
 Lang'ata,-1.3204427,36.83053678,South C
 Lang'ata,-1.31600475,36.80173345,Nyayo Highrise
 Kibra,-1.31234835,36.79611435,Laini Saba
 Kibra,-1.31516185,36.79284123,Lindi
 Kibra,-1.30854575,36.78652379,Makina
 Kibra,-1.3056567,36.77600465,Woodley
 Kibra,-1.31226715,36.77745932,Sarangombe
 Roysambu,-1.2062932,36.9206391,Githurai
 Roysambu,-1.1856847,36.9057928,Kahawa West
 Roysambu,-1.2103969,36.8952212,Zimmerman
 Roysambu,-1.2188396,36.8867392,Roysambu
 Roysambu,-1.1869631,36.912022,Kahawa
 Kasarani,-1.2208721,36.9012224,Clay City
 Kasarani,-1.2322834,36.9275102,Mwiki
 Kasarani,-1.2208721,36.9012224,Kasarani
 Kasarani,-1.2539022,36.9343299,Njiru
 Kasarani,-1.2677339,36.9911112,Ruai
 Ruaraka,-1.2433103,36.8910881,Babadogo
 Ruaraka,-1.25571935,36.8612155,Utalii
 Ruaraka,-1.251788,36.87077217,Mathare North
 Ruaraka,-1.2393083,36.898786,Lucky Summer
 Ruaraka,-1.2514893,36.8903648,Korogocho
 Embakasi South,-1.3285901,36.8743999,Imara Daima
 Embakasi South,-1.3166386,36.884663,Kwa Njenga
 Embakasi South,-1.3139148,36.869364,Kwa Reuben
 Embakasi South,-1.0881862,36.5315908,Pipeline
 Embakasi South,-1.3112904,36.87875837,Kware
 Embakasi North,-1.3151376,36.86733961,Kariobangi North
 Embakasi North,-1.2484935,36.8973498,Dandora Area 1
 Embakasi North,-1.2484935,36.8973498,Dandora Area 2
 Embakasi North,-1.2484935,36.8973498,Dandora Area 3
 Embakasi North,-1.2484935,36.8973498,Dandora Area 4
 Embakasi Central,-1.2659842,36.9169455,Kayole North
 Embakasi Central,-1.2659842,36.9169455,Kayole Central
 Embakasi Central,-1.2659842,36.9169455,Kayole South
 Embakasi Central,-1.26725495,36.90524096,Komarok
 Embakasi Central,-1.2477029,36.7892356,Spring Valley
 Embakasi East,-1.324728,36.887724,Upper Savanna
 Embakasi East,-1.324728,36.887724,Lower Savanna
 Embakasi East,-1.324728,36.887724,Embakasi
 Embakasi East,-1.285877,36.9840868,Utawala
 Embakasi East,-1.2692818,36.9529905,Mihango
 Embakasi West,-1.2778669,36.8881172,Umoja 1
 Embakasi West,-1.2818728,36.8993397,Umoja 2
 Embakasi West,-1.324728,36.887724,Mowlem
 Embakasi West,-1.324728,36.887724,Kariobangi South
 Makadara,-1.2873101,36.87210716,Makongeni
 Makadara,-1.2920714,36.86572592,Maringo
 Makadara,-1.290941,36.89721585,Harambee
 Makadara,-1.3112438,36.87347165,Viwandani
 Kamukunji,-1.2797575,36.8442693,Pumwani
 Kamukunji,-1.2778285,36.8486835,Eastleigh North
 Kamukunji,-1.2778285,36.8486835,Eastleigh South
 Starehe,-1.2832533,36.8172449,Nairobi Central
 Starehe,-1.277803,36.8300722,Ngara
 Starehe,-1.2788772,36.8360883,Ziwani
 Starehe,-1.2648989,36.8372708,Pangani
 Starehe,-1.2694542,36.83557186,Landimawe
 Starehe,-1.314183,36.8235852,Nairobi South
 Mathare,-1.2616554,36.84871953,Hospital
 Mathare,-1.2602912,36.86361626,Mabatini
 Mathare,-1.25764595,36.87259835,Huruma
 Mathare,-1.25946895,36.86678098,Ngei
 Mathare,-1.2658072,36.8456235,Mlango Kubwa
 Mathare,-1.25377765,36.87573249,Kiamaiko
